run_kind,seed,ir_drop,input_bits,weight_noise,run_key,checkpoint_path,checkpoint_label,nll,ppl,tokens,float_ppl,identity_ppl,rotated_ppl,improvement_ratio,hardware_preset,analog_targets,online_hadamards,json_path
identity,,1.5,-1,0.0,analog_identity,,,2.6652740724384785,14.371887944643365,8128,14.38075188503538,14.371887944643365,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/hadamard_grid/ir1p5_bitsm1_wnoise0_identity.json
hadamard_D,1,1.5,-1,0.0,analog_rotated,,,2.6812886223196983,14.603900087459975,8128,14.38075188503538,14.371887944643365,14.603900087459975,0.984113001223842,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/hadamard_grid/ir1p5_bitsm1_wnoise0_seed1.json
checkpoint,,1.5,-1,0.0,analog_rotated,checkpoints/grace,ckpt0_grace,2.6499468479305506,14.153286348923967,8128,14.38075188503538,14.371887944643365,14.153286348923967,1.015445288841769,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/hadamard_grid/ir1p5_bitsm1_wnoise0_ckpt0_grace.json
identity,,1.5,10,0.0,analog_identity,,,2.6698954328894615,14.438459325890712,8128,14.38075188503538,14.438459325890712,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/hadamard_grid/ir1p5_bits10_wnoise0_identity.json
hadamard_D,1,1.5,10,0.0,analog_rotated,,,2.6814026925712824,14.60556605303381,8128,14.38075188503538,14.438459325890712,14.60556605303381,0.9885586956002717,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/hadamard_grid/ir1p5_bits10_wnoise0_seed1.json
checkpoint,,1.5,10,0.0,analog_rotated,checkpoints/grace,ckpt0_grace,2.650035224854946,14.154537228115188,8128,14.38075188503538,14.438459325890712,14.154537228115188,1.020058734044061,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/hadamard_grid/ir1p5_bits10_wnoise0_ckpt0_grace.json
identity,,1.5,8,0.0,analog_identity,,,2.7081748079508543,15.001869219186002,8128,14.38075188503538,15.001869219186002,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/hadamard_grid/ir1p5_bits8_wnoise0_identity.json
hadamard_D,1,1.5,8,0.0,analog_rotated,,,2.681998258456588,14.614267220712696,8128,14.38075188503538,15.001869219186002,14.614267220712696,1.0265221644451636,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/hadamard_grid/ir1p5_bits8_wnoise0_seed1.json
checkpoint,,1.5,8,0.0,analog_rotated,checkpoints/grace,ckpt0_grace,2.65071127936244,14.164109702202284,8128,14.38075188503538,15.001869219186002,14.164109702202284,1.059146641377217,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/hadamard_grid/ir1p5_bits8_wnoise0_ckpt0_grace.json
identity,,1.5,6,0.0,analog_identity,,,2.829175066202879,16.93148770544057,8128,14.38075188503538,16.93148770544057,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/hadamard_grid/ir1p5_bits6_wnoise0_identity.json
hadamard_D,1,1.5,6,0.0,analog_rotated,,,2.6977205965667963,14.84585343910285,8128,14.38075188503538,16.93148770544057,14.84585343910285,1.1404859797985287,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/hadamard_grid/ir1p5_bits6_wnoise0_seed1.json
checkpoint,,1.5,6,0.0,analog_rotated,checkpoints/grace,ckpt0_grace,2.6778452675789595,14.55370015654601,8128,14.38075188503538,16.93148770544057,14.55370015654601,1.1633802760341379,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/hadamard_grid/ir1p5_bits6_wnoise0_ckpt0_grace.json
identity,,2.0,-1,0.0,analog_identity,,,2.6651499550789595,14.370104254556114,8128,14.38075188503538,14.370104254556114,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/hadamard_grid/ir2_bitsm1_wnoise0_identity.json
hadamard_D,1,2.0,-1,0.0,analog_rotated,,,2.6929999478161335,14.775936536022312,8128,14.38075188503538,14.370104254556114,14.775936536022312,0.9725342430595301,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/hadamard_grid/ir2_bitsm1_wnoise0_seed1.json
checkpoint,,2.0,-1,0.0,analog_rotated,checkpoints/grace,ckpt0_grace,2.649184174835682,14.142496133448216,8128,14.38075188503538,14.370104254556114,14.142496133448216,1.016093914324614,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/hadamard_grid/ir2_bitsm1_wnoise0_ckpt0_grace.json
identity,,2.0,10,0.0,analog_identity,,,2.6698221769183874,14.437401661272576,8128,14.38075188503538,14.437401661272576,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/hadamard_grid/ir2_bits10_wnoise0_identity.json
