run_kind,seed,ir_drop,input_bits,weight_noise,run_key,checkpoint_path,checkpoint_label,nll,ppl,tokens,float_ppl,identity_ppl,rotated_ppl,improvement_ratio,hardware_preset,analog_targets,online_hadamards,json_path
identity,,0.0,-1,0.0,analog_identity,,,2.616328228265047,13.685381622116248,8128,13.684835003821114,13.685381622116248,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/new/ir0_bitsm1_wnoise0_identity.json
hadamard_D,1,0.0,-1,0.0,analog_rotated,,,2.6162821501493454,13.684751040046569,8128,13.684835003821114,13.685381622116248,13.684751040046569,1.0000460791773145,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0_bitsm1_wnoise0_seed1.json
checkpoint,,0.0,-1,0.0,analog_rotated,checkpoints/.5_ir_bits8_steps30.pt,ckpt0_5_ir_bits8_steps30,2.6162899397313595,13.684857638952318,8128,13.684835003821114,13.685381622116248,13.684857638952318,1.000038289266703,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0_bitsm1_wnoise0_ckpt0_5_ir_bits8_steps30.json
identity,,0.0,10,0.0,analog_identity,,,2.6254854425787926,13.811277140977339,8128,13.684835003821114,13.811277140977339,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/new/ir0_bits10_wnoise0_identity.json
hadamard_D,1,0.0,10,0.0,analog_rotated,,,2.6162078119814396,13.683733778537153,8128,13.684835003821114,13.811277140977339,13.683733778537153,1.0093208012158374,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0_bits10_wnoise0_seed1.json
checkpoint,,0.0,10,0.0,analog_rotated,checkpoints/.5_ir_bits8_steps30.pt,ckpt0_5_ir_bits8_steps30,2.6162967029958963,13.684950193577665,8128,13.684835003821114,13.811277140977339,13.684950193577665,1.009231085653418,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0_bits10_wnoise0_ckpt0_5_ir_bits8_steps30.json
identity,,0.0,8,0.0,analog_identity,,,3.004089377820492,20.167842446885928,8128,13.684835003821114,20.167842446885928,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/new/ir0_bits8_wnoise0_identity.json
hadamard_D,1,0.0,8,0.0,analog_rotated,,,2.6163776237517595,13.68605763489817,8128,13.684835003821114,20.167842446885928,13.68605763489817,1.4736049624297805,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0_bits8_wnoise0_seed1.json
checkpoint,,0.0,8,0.0,analog_rotated,checkpoints/.5_ir_bits8_steps30.pt,ckpt0_5_ir_bits8_steps30,2.616351243108511,13.685696592656509,8128,13.684835003821114,20.167842446885928,13.685696592656509,1.4736438375893572,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0_bits8_wnoise0_ckpt0_5_ir_bits8_steps30.json
identity,,0.0,6,0.0,analog_identity,,,3.1105251163244247,22.432821148982583,8128,13.684835003821114,22.432821148982583,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/new/ir0_bits6_wnoise0_identity.json
hadamard_D,1,0.0,6,0.0,analog_rotated,,,2.634021220728755,13.929671714681351,8128,13.684835003821114,22.432821148982583,13.929671714681351,1.6104343022915057,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0_bits6_wnoise0_seed1.json
checkpoint,,0.0,6,0.0,analog_rotated,checkpoints/.5_ir_bits8_steps30.pt,ckpt0_5_ir_bits8_steps30,2.6349320970475674,13.942365703224183,8128,13.684835003821114,22.432821148982583,13.942365703224183,1.608968063704926,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0_bits6_wnoise0_ckpt0_5_ir_bits8_steps30.json
identity,,0.1,-1,0.0,analog_identity,,,2.6163800824433565,13.68609128473444,8128,13.684835003821114,13.68609128473444,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/new/ir0p1_bitsm1_wnoise0_identity.json
hadamard_D,1,0.1,-1,0.0,analog_rotated,,,2.6155473049730062,13.674698560715722,8128,13.684835003821114,13.68609128473444,13.674698560715722,1.0008331243257855,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0p1_bitsm1_wnoise0_seed1.json
checkpoint,,0.1,-1,0.0,analog_rotated,checkpoints/.5_ir_bits8_steps30.pt,ckpt0_5_ir_bits8_steps30,2.615549098700285,13.674723089417558,8128,13.684835003821114,13.68609128473444,13.674723089417558,1.0008313291057191,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0p1_bitsm1_wnoise0_ckpt0_5_ir_bits8_steps30.json
identity,,0.1,10,0.0,analog_identity,,,2.62492130510509,13.803487879296206,8128,13.684835003821114,13.803487879296206,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/new/ir0p1_bits10_wnoise0_identity.json
hadamard_D,1,0.1,10,0.0,analog_rotated,,,2.6156456116586924,13.67604294108869,8128,13.684835003821114,13.803487879296206,13.67604294108869,1.009318846010977,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0p1_bits10_wnoise0_seed1.json
checkpoint,,0.1,10,0.0,analog_rotated,checkpoints/.5_ir_bits8_steps30.pt,ckpt0_5_ir_bits8_steps30,2.615343539044261,13.671912406934434,8128,13.684835003821114,13.803487879296206,13.671912406934434,1.0096237796473182,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0p1_bits10_wnoise0_ckpt0_5_ir_bits8_steps30.json
identity,,0.1,8,0.0,analog_identity,,,3.0202878061681986,20.49719005308677,8128,13.684835003821114,20.49719005308677,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/new/ir0p1_bits8_wnoise0_identity.json
hadamard_D,1,0.1,8,0.0,analog_rotated,,,2.6164329797029495,13.686815260605943,8128,13.684835003821114,20.49719005308677,13.686815260605943,1.4975865212474064,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0p1_bits8_wnoise0_seed1.json
checkpoint,,0.1,8,0.0,analog_rotated,checkpoints/.5_ir_bits8_steps30.pt,ckpt0_5_ir_bits8_steps30,2.616358209401369,13.68579193155902,8128,13.684835003821114,20.49719005308677,13.68579193155902,1.4976985004295493,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0p1_bits8_wnoise0_ckpt0_5_ir_bits8_steps30.json
identity,,0.1,6,0.0,analog_identity,,,3.1134667322039604,22.498907043902168,8128,13.684835003821114,22.498907043902168,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/new/ir0p1_bits6_wnoise0_identity.json
hadamard_D,1,0.1,6,0.0,analog_rotated,,,2.635445414111018,13.949524394626556,8128,13.684835003821114,22.498907043902168,13.949524394626556,1.6128798665400297,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0p1_bits6_wnoise0_seed1.json
checkpoint,,0.1,6,0.0,analog_rotated,checkpoints/.5_ir_bits8_steps30.pt,ckpt0_5_ir_bits8_steps30,2.633818442001939,13.926847359955287,8128,13.684835003821114,22.498907043902168,13.926847359955287,1.6155061129336885,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0p1_bits6_wnoise0_ckpt0_5_ir_bits8_steps30.json
identity,,0.25,-1,0.0,analog_identity,,,2.616470780223608,13.687332639127478,8128,13.684835003821114,13.687332639127478,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/new/ir0p25_bitsm1_wnoise0_identity.json
hadamard_D,1,0.25,-1,0.0,analog_rotated,,,2.614568306133151,13.661317597731767,8128,13.684835003821114,13.687332639127478,13.661317597731767,1.0019042849424737,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0p25_bitsm1_wnoise0_seed1.json
checkpoint,,0.25,-1,0.0,analog_rotated,checkpoints/.5_ir_bits8_steps30.pt,ckpt0_5_ir_bits8_steps30,2.6145833171904087,13.661522670091614,8128,13.684835003821114,13.687332639127478,13.661522670091614,1.0018892454127657,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0p25_bitsm1_wnoise0_ckpt0_5_ir_bits8_steps30.json
identity,,0.25,10,0.0,analog_identity,,,2.6250212509185076,13.80486754906526,8128,13.684835003821114,13.80486754906526,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/new/ir0p25_bits10_wnoise0_identity.json
hadamard_D,1,0.25,10,0.0,analog_rotated,,,2.6145382933318615,13.660907589474132,8128,13.684835003821114,13.80486754906526,13.660907589474132,1.0105380962903263,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0p25_bits10_wnoise0_seed1.json
checkpoint,,0.25,10,0.0,analog_rotated,checkpoints/.5_ir_bits8_steps30.pt,ckpt0_5_ir_bits8_steps30,2.6146209221333265,13.66203642053151,8128,13.684835003821114,13.80486754906526,13.66203642053151,1.0104546001882342,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0p25_bits10_wnoise0_ckpt0_5_ir_bits8_steps30.json
identity,,0.25,8,0.0,analog_identity,,,3.005843970924616,20.20325986666222,8128,13.684835003821114,20.20325986666222,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/new/ir0p25_bits8_wnoise0_identity.json
hadamard_D,1,0.25,8,0.0,analog_rotated,,,2.6164442598819733,13.686969651203123,8128,13.684835003821114,20.20325986666222,13.686969651203123,1.476094444681281,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0p25_bits8_wnoise0_seed1.json
checkpoint,,0.25,8,0.0,analog_rotated,checkpoints/.5_ir_bits8_steps30.pt,ckpt0_5_ir_bits8_steps30,2.615192396566272,13.669846156367447,8128,13.684835003821114,20.20325986666222,13.669846156367447,1.4779434702892755,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0p25_bits8_wnoise0_ckpt0_5_ir_bits8_steps30.json
identity,,0.25,6,0.0,analog_identity,,,3.09546210244298,22.097447463035536,8128,13.684835003821114,22.097447463035536,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/new/ir0p25_bits6_wnoise0_identity.json
hadamard_D,1,0.25,6,0.0,analog_rotated,,,2.6337618604302406,13.926059379335662,8128,13.684835003821114,22.097447463035536,13.926059379335662,1.586769585071932,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0p25_bits6_wnoise0_seed1.json
checkpoint,,0.25,6,0.0,analog_rotated,checkpoints/.5_ir_bits8_steps30.pt,ckpt0_5_ir_bits8_steps30,2.6334555093199015,13.921793769002745,8128,13.684835003821114,22.097447463035536,13.921793769002745,1.5872557681637338,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0p25_bits6_wnoise0_ckpt0_5_ir_bits8_steps30.json
identity,,0.5,-1,0.0,analog_identity,,,2.6166725512593985,13.690094625046292,8128,13.684835003821114,13.690094625046292,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/new/ir0p5_bitsm1_wnoise0_identity.json
hadamard_D,1,0.5,-1,0.0,analog_rotated,,,2.613557353615761,13.647513633067552,8128,13.684835003821114,13.690094625046292,13.647513633067552,1.0031200549142936,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0p5_bitsm1_wnoise0_seed1.json
checkpoint,,0.5,-1,0.0,analog_rotated,checkpoints/.5_ir_bits8_steps30.pt,ckpt0_5_ir_bits8_steps30,2.613574717193842,13.647750604793465,8128,13.684835003821114,13.690094625046292,13.647750604793465,1.0031026373121117,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0p5_bitsm1_wnoise0_ckpt0_5_ir_bits8_steps30.json
identity,,0.5,10,0.0,analog_identity,,,2.62528158724308,13.808461925397255,8128,13.684835003821114,13.808461925397255,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/new/ir0p5_bits10_wnoise0_identity.json
hadamard_D,1,0.5,10,0.0,analog_rotated,,,2.6132988426834345,13.643986057572391,8128,13.684835003821114,13.808461925397255,13.643986057572391,1.0120548252637345,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0p5_bits10_wnoise0_seed1.json
checkpoint,,0.5,10,0.0,analog_rotated,checkpoints/.5_ir_bits8_steps30.pt,ckpt0_5_ir_bits8_steps30,2.6136710196733475,13.649064980304175,8128,13.684835003821114,13.808461925397255,13.649064980304175,1.0116782318292932,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0p5_bits10_wnoise0_ckpt0_5_ir_bits8_steps30.json
identity,,0.5,8,0.0,analog_identity,,,2.9876061771064997,19.838136620465594,8128,13.684835003821114,19.838136620465594,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/new/ir0p5_bits8_wnoise0_identity.json
hadamard_D,1,0.5,8,0.0,analog_rotated,,,2.6144399754703045,13.659564544276755,8128,13.684835003821114,19.838136620465594,13.659564544276755,1.452325698682511,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0p5_bits8_wnoise0_seed1.json
checkpoint,,0.5,8,0.0,analog_rotated,checkpoints/.5_ir_bits8_steps30.pt,ckpt0_5_ir_bits8_steps30,2.6143988091498613,13.659002241839652,8128,13.684835003821114,19.838136620465594,13.659002241839652,1.4523854868182313,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0p5_bits8_wnoise0_ckpt0_5_ir_bits8_steps30.json
identity,,0.5,6,0.0,analog_identity,,,3.1193113774061203,22.630790202720032,8128,13.684835003821114,22.630790202720032,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/new/ir0p5_bits6_wnoise0_identity.json
hadamard_D,1,0.5,6,0.0,analog_rotated,,,2.635437937453389,13.949420099198461,8128,13.684835003821114,22.630790202720032,13.949420099198461,1.6223463084333094,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0p5_bits6_wnoise0_seed1.json
checkpoint,,0.5,6,0.0,analog_rotated,checkpoints/.5_ir_bits8_steps30.pt,ckpt0_5_ir_bits8_steps30,2.633166301995516,13.917768066435556,8128,13.684835003821114,22.630790202720032,13.917768066435556,1.6260358769231844,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir0p5_bits6_wnoise0_ckpt0_5_ir_bits8_steps30.json
identity,,1.0,-1,0.0,analog_identity,,,2.617097597569227,13.695914786079236,8128,13.684835003821114,13.695914786079236,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/new/ir1_bitsm1_wnoise0_identity.json
hadamard_D,1,1.0,-1,0.0,analog_rotated,,,2.615280855447054,13.671055429143573,8128,13.684835003821114,13.695914786079236,13.671055429143573,1.0018183933979719,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir1_bitsm1_wnoise0_seed1.json
checkpoint,,1.0,-1,0.0,analog_rotated,checkpoints/.5_ir_bits8_steps30.pt,ckpt0_5_ir_bits8_steps30,2.6152405440807343,13.670504341327819,8128,13.684835003821114,13.695914786079236,13.670504341327819,1.0018587788802054,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir1_bitsm1_wnoise0_ckpt0_5_ir_bits8_steps30.json
identity,,1.0,10,0.0,analog_identity,,,2.6267278622835875,13.82844720785173,8128,13.684835003821114,13.82844720785173,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/new/ir1_bits10_wnoise0_identity.json
hadamard_D,1,1.0,10,0.0,analog_rotated,,,2.6152806635946035,13.671052806318341,8128,13.684835003821114,13.82844720785173,13.671052806318341,1.0115129685886843,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir1_bits10_wnoise0_seed1.json
checkpoint,,1.0,10,0.0,analog_rotated,checkpoints/.5_ir_bits8_steps30.pt,ckpt0_5_ir_bits8_steps30,2.615139001980424,13.669116280079217,8128,13.684835003821114,13.82844720785173,13.669116280079217,1.0116562712985853,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir1_bits10_wnoise0_ckpt0_5_ir_bits8_steps30.json
identity,,1.0,8,0.0,analog_identity,,,3.0180439725518227,20.45124932994903,8128,13.684835003821114,20.45124932994903,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/new/ir1_bits8_wnoise0_identity.json
hadamard_D,1,1.0,8,0.0,analog_rotated,,,2.6161624528467655,13.683113110290442,8128,13.684835003821114,20.45124932994903,13.683113110290442,1.494634237479816,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir1_bits8_wnoise0_seed1.json
checkpoint,,1.0,8,0.0,analog_rotated,checkpoints/.5_ir_bits8_steps30.pt,ckpt0_5_ir_bits8_steps30,2.615134060382843,13.66904873297417,8128,13.684835003821114,20.45124932994903,13.66904873297417,1.4961720986928662,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir1_bits8_wnoise0_ckpt0_5_ir_bits8_steps30.json
identity,,1.0,6,0.0,analog_identity,,,3.1104776300489902,22.431755923150735,8128,13.684835003821114,22.431755923150735,,,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",False,results/new/ir1_bits6_wnoise0_identity.json
hadamard_D,1,1.0,6,0.0,analog_rotated,,,2.635029036551714,13.943717334754272,8128,13.684835003821114,22.431755923150735,13.943717334754272,1.6087357040177728,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir1_bits6_wnoise0_seed1.json
checkpoint,,1.0,6,0.0,analog_rotated,checkpoints/.5_ir_bits8_steps30.pt,ckpt0_5_ir_bits8_steps30,2.634647712111473,13.93840126818419,8128,13.684835003821114,22.431755923150735,13.93840126818419,1.6093492712362563,ir_drop_only+grid_overrides,"q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj,lm_head",True,results/new/ir1_bits6_wnoise0_ckpt0_5_ir_bits8_steps30.json
